実行日時,結果,詳細,対象製品数,有効製品数
2025-08-21 15:13:28,OK,全製品が有効,4,1
2025-08-21 17:57:24,OK,全製品が有効,4,1
2025-08-21 17:58:26,OK,全製品が有効,4,1
2025-08-21 19:28:21,OK,全製品が有効,4,1
2025-08-21 19:35:18,OK,全製品が有効,4,1
2025-08-21 21:13:39,OK,全製品が有効,4,1
2025-08-21 21:21:58,OK,全製品が有効,4,1
2025-08-21 21:28:35,OK,全製品が有効,4,1
2025-08-25 09:54:37,OK,全製品が有効,4,1
2025-08-25 12:10:07,OK,全製品が有効,4,1
2025-08-25 12:18:33,OK,全製品が有効,4,1
2025-08-25 12:22:33,OK,全製品が有効,4,1
2025-08-25 17:52:58,OK,全製品が有効,4,1
2025-08-25 17:56:16,OK,全製品が有効,4,1
2025-08-25 18:00:18,OK,全製品が有効,4,1
2025-08-25 18:03:04,OK,全製品が有効,4,1
2025-08-25 18:16:04,OK,全製品が有効,4,1
2025-08-26 10:00:55,OK,全製品が有効,4,1
2025-08-27 09:01:32,OK,全製品が有効,4,1
2025-08-28 09:01:36,OK,全製品が有効,4,1
2025-08-29 09:01:09,OK,全製品が有効,4,1
2025-08-29 15:30:17,OK,全製品が有効,4,1
2025-08-29 15:33:43,OK,全製品が有効,4,1
